,sentiment,text
3721,anger,treasury secretary warns us could see 20% unemployment rate due to coronavirus source says thanks for this health crisis it is upon you&only you & your admin for what the devastating impacts of your inaction on
4189,fear,i've been out of it all day head hurts and stomach feels like shit and no i do not have the corona virus just feeling weird
4449,fear,you still think this is about money dude the underlying issue is you lying all the time so there is a lack of trust and the lack of tests for sick people do not shop nor do they buy stocks or pay into their 401ks
387,joy,the best solution is an orderly and humane repatriation home and arrangements for food and wages during the lockdown these are our fellow citizens too please help them
1445,joy,it is nice to see families up on the terraces of their homes walking talking interacting flying kites they are going to miss this once this is over hopefully this will bring and a long lasting positive social change twitter com/5rpf51frkj
2212,joy,we are proud of shri himanta biswa sarma sir we are blessed to have you in between us in this unprecedented crisis how pm narendra modi's northeast warrior himanta biswa sarma fights coronavirus india news …
3667,anger,"a vendor from china emailed me today offering lots of items (sanitizers face shields protective clothing) for if needed and i've got adding tariffs and calling it the ""chinese virus"" on this end"
2908,sad,new of ncr 400 cases in last three days 48 cases reported today morning twitter com/uzzhcvwvso
2071,sad,25 year old up's 1st coronavirus death it turns out many at 2 hospitals were exposed ndtv …
962,joy,stars of viral pandemic movie contagion reunite to offer coronavirus advice
3892,anger,how did a home economics teacher become so corrupt/dirty crooked infusion of filthy money will do it every time right to not vote to help families in tennessee with coronavirus is beyond evil yours is coming lady
4240,fear,please stop pushing the mortality argument it is not about the deaths (although those octogenarian victims are someone is loved ones) it is about the infectiousness down time and the disruptions to the routine (as well as the potential strain on the healthcare system)
4495,fear,whatever pain i feel i google if the symptoms are related
3172,sad,wajid khan the popular bollywood music director from the sajid wajid duo passed away today at the age of 43 he was suffering from covid19 rest in peace wajid khan twitter com/csls7m9dhj
4344,fear,the big question is where and when did arteta got infected with the corona virus is the arsenal fc environment safe cannot there be a probability that arteta is not the only victim of this virus in arsenal
3433,anger,"i hold you equally responsible to any tory voter for every single thing johnson does especially when the whole country is now at the mercy of his vicious psychopathic coronavirus ""strategy"" you wanted ""anyone but corbyn"" you have got it own it"
2213,joy,boost immunity against corona /cr6o7ygfmh
3405,anger,he knows if he tries to say coronavirus he will wind up saying something worse than covfefe
393,joy,corona virus family is present in felines nothin new
4129,fear,my bf kisses me like he is scared to get corona virus jk i love him good day
3157,sad,asymptomatic they can be sitting next to you
3495,anger,john henry looks like mother theresa compared to this dickwad bruins owner jeremy jacobs shamefully has not pledged to help td garden workers during coronavirus out
4097,fear,it is business as usual in the queens courts where coronavirus concerns will not get you out of jury duty
3866,anger,french bread vienna sausage danish croissants german potato salad french dressing italian seasoning chinese coronavirus and leftist senate dipsh*ts it is all good and not racist but let us know how the no malarkey bussing goes for you wah what an offensive fraud
3893,anger,i agree with you everybody loves to play self righteous police on social media what is next 'i will only watch movies featuring actresses who make sensitive comments about the coronavirus crisis' but i will still worship kobe no matter what he did in that hotel
3410,anger,racism and xenophobia will not help us stop and calling it a “chinese virus” will not distract americans from how poorly this president is handling an ongoing pandemic twitter com/xgbj3pzz14
2876,joy,i heartily thanks to sbi sme rudrapur which provided the covid relief funding to us it will help us in this though time i appreciate mr gaurav agarwal sir n rmme abhishek garg ji for excellent work
3717,anger,is not no fucking coronavirus going to stop me from going on cute dates with my crush
3449,anger,sen rand paul tests positive for coronavirus libs pile on hate
4000,anger,the impacts of this shutdown will have a far greater negative impact to the country than coronavirus
2816,sad,no contact tracing done if days back one patient in our icu came postive but there attendants were rooming freely in hospital need of hour do not mix covid with noncovid in term of staff as of time is done despite government order
1268,joy,good news out of the ten covid19 patients in district gurugram 9 people have fully recovered
199,sad,what do you think about covid 19 how many days are needed to remove this from our live
3485,anger,i've always been the type to need control and to know what is next this coronavirus shit really forcing me to take control of my anxiety and i'm doing a pretty good job
2123,sad,please register fir against this fake doctor spreading misinformation on coronavirus and order youtube to block this account
125,joy,pavilion
3985,anger,democrats are obstructing passage of a bipartisan relief bill
4395,fear,oh no ( there is the second case of coronavirus on paraguay (
1149,anger,earth 1 0 before covid 19 was so beautiful that i am now damn excitef to see earth 2 0 soon shot on ahmedabad baroda expeess highway just before covid 19 entered in india seriously 6th march 2020 shot on my… …
1275,sad,kejriwal sahab yourself advertisement on almost all channel's using corona to bear request you to work on ground chief minister are also working on corona
3665,anger,the us has tested fewer than 7 000 people thus far for are you kidding me are you kidding
2014,joy,good news for bathinda twitter com/hkjz3kvmiu
3465,anger,dallas is over here trying to set itself up as an alternate location for esports and coronavirus is shitting all over them
1226,sad,very disappointed to see the volume of “you cant catch covid as its a virus” and all the come slithering to the surface if you cannot catch it please go and volunteer in a hospital for a day then isolate and stay home for 21 days good luck
3695,anger,the idiot and both need to lock themselves in the same room and turn over running the country to the next person in line for potus until they can be defiantly cleared of the coronavirus they have both been exposed
4707,fear,trump looked sick and was congested during the press conference spoke a few words and bounced hmmmmm
777,joy,when generation alpha put on headphone for my playlist be like stay at home keep it clean enjoy your music and be safe guys let us stop the covid 19 infection chain so we can go out and celebrate ramadan …
1748,joy,today is april fools day but we are closed inside the house happy april fool day twitter com/rxgz9fu0km
2822,anger,while karnataka is grappling with rampant corruption even while covid rages on the himachal pradesh bjp president resigned after he was found guilty for having involved in the ppe kit purchase scam pic twitter com/mumzgbe8ia
4143,fear,having a 4 year old with sleep apnea is the most scary thing and now his operation is going to be cancelled next week
273,joy,you guys i posted a new video on youtube where i gave my advice on how i've stayed safe during two months of quarantine in wuhan link is in my bio ー19
1019,joy,alumna making us proud during pandemic
3725,anger,gh leaders will intentionally disgrace us you have this police truck that sprays hot water so cannot you use that for the coronavirus mass spraying wtf is that thing water pistol sef better pass am
2160,joy,for the well being of mind and body amid the coronavirus lockdown pm modi encourages citizens to practice yoga through the ‘yoga with modi' series the clips are a series of 17 different asanas via namo app
1883,anger,with khabib being stuck in russia due to travel ban connor will be sharing the octagon with tony ferguson at no one was expecting such a turn however the notorious going to lose this
3511,anger,testing blunders crippled us response to coronavirus
4559,fear,boris johnson grilled after warning over lack of coronavirus testing via
1014,joy,a brazilian mother her son after he had to go out to buy for the ー19 _distancing
4114,fear,very disappointed in senator cruz for adding to the hysteria of this with his self isolation just because you interacted with somebody who might have it does not necessarily mean they transferred it to you everybody stay calm we are going to be just fine
3262,sad,corona is going to give many bad news
1704,sad,negative result again for covid 19 and got cleared back to work tomorrow
4680,fear,the difference is nationality is not visible race often is and that is why this name is harmful why do you think only right wing twatwaffles like trump use it the virus has a name it has two pick coronavirus and/or covid 19 and stop being a racist pervert
4482,fear,first cases of in kyrgyzstan mauritius (république de maurice) new caledonia zambia djibouti & montserrat people are spreading this virus everywhere it is not going to spare any little island no big country no smaller no bigger no closer no remote place f***
2861,sad,take healthy food say goodbye to corona virus( ) twitter com/aahq9ztn87
3791,anger,have u seen the coronavirus porn plots lmfaooooo
4160,fear,the fatalistic view from an er nurse on what is ahead with
812,joy,my was on 23 march before singapore went to a semi lockdown on 7 april we managed to sneek out for office lunch at pariaman and got a charcoal ice cream haji lane was quiet due to travel restrictions it was a fun day
523,joy,great work hon'ble sir highly appreciated thumbs_up thumbs_up _19
3678,anger,i'm so annoyed yes the media over plays the coronavirus and a lot of people are severely overreacting but why is it bad to be vigilant and concerned for our health a lot of people live with suppressed immune systems chronic illnesses and live with grandparents
3028,sad,rest in peace celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 pic twitter com/859yfslews
2627,joy,going from strength to strength is covid 19 in gurgaon
2996,joy,yesterday gallio science club jointly with vasavi club udumalpet we were distributed covid relief materials to isalthittu tribal village people pic twitter com/kjcwct6ied
314,sad,acty it is not relief for labour's since lockdown is almost over in many states if labour went to home town now then may die with hunger it is better to do stay wherever they are and work as they shortage of money
3746,anger,the scams are starting pic twitter com/3a5ibjww7n
2670,joy,‘nurses' join the covid 19 battle thank rss for help … via
4042,fear,during the crisis when i think of leadership that will get us through this i think of 1st
3544,anger,hey why are the republicans trying to sneak in abortion rights laws into the corona virus help bill very shady to be trying something like this in a crisis
378,sad,video shows in patients sleeping with dead bodies legislator nitesh n rane on wednesday tweet a stunning video purportedly showing covid 19 patients sleeping among the dead in a mumbai hospital
4227,fear,taiwan says it warned who about coronavirus in december but its warnings were ignored via
202,sad,what streets look like during the two hour break of the total curfew mandated by the government swipe left for a closed eye image of myself zany_face face_with_tears_of_joy yacht club
3975,anger,lawmaker retracts claim that idf sprays ' ' with 'unknown substance'
1232,sad,give me only 5 lakhs not only i will destroy corona from our country but also by my formula not a single indian will be infected in future try once do not waste time on 2nd of feb i told to lock down whole nation 7th march i told 25% will be infected jai hind
4053,fear,grand princess arrives in an anxious oakland now at the center of coronavirus fight los angeles times grand princess arrives in an anxious oakland now at the center of coronavirus fight los angeles timesabc news prime co… twitter com/ekessa9qfg
4566,fear,coronavirus researcher calls it the 'most frightening disease i've ever encountered' |
3271,joy,your favorite game read them just 2min …
3178,joy,great work by salman khan keep helping our corona worriers …
1099,sad,what is this happening to this lovely island disappointing please wake up teach them a lesson do not play with innocent people …
3228,sad,wajid khan the popular bollywood music director from the sajid wajid duo passed away today at the age of 43 he was suffering from covid 19 twitter com/pohl4dxr89
4578,fear,i'm going to lose it if coronavirus affects my summer trip to vegas
3581,anger,australian researchers have just worked out how the body fights coronavirus
1839,joy,"""earlier this month i took up a content creation project for a home stay in himachal pradesh to write about it i had to be there full story >> twitter com/4naqwphrmj"
2867,sad,our chief instructs the ruling govt to take severe action regarding the overpricing charged by private hospitals for corona patients in the middle of a pandemic he even claims that govt has failed completely in implementing precautionary measures to handle this pandemic pic twitter com/sdvtpjghn6
2891,anger,this got to be the greatest shit anyone can read today please god whatever effing faith you belong to please give us a break we are dealing with a severe corona none of you assholes could not do a small fuck about please eff of god you sucks …
1590,joy,thank you for writing this helpful article here are 75 coursera certificates you can now earn for free (during the coronavirus pandemic) …
4713,fear,cnn says trump's remarks tonight will focus on economic stimulus not public health the health crisis is the economic crisis we need widespread free coronavirus testing and clear public health leadership we seem unlikely to get either disastrous
2208,fear,sir i am planning to come back home as wb situation is alarming & scary i am in complete lockdown with no interaction with outside world since march 16 i am requesting home quarantine as i fear to go institutional quarantine gr8 work done bst wishes
3183,joy,remind this to yourself and everyone around every single day and twitter com/ttsnqknab6
4470,fear,taiwan has only 47 cases its response to the crisis shows that swift action and widespread healthcare can prevent an outbreak via
164,joy,after lockdown weddings queue
4448,fear,catching the corona virus would be a problem but it would also solve a shit ton of my problems
2495,sad,several people are injured in suppression of gone in bunker we see that how the situation is in america i do not know is the is gone
3193,joy,a beautiful morning from mosque after a closure lasted more than two months because of
40,sad,‌ 19 related lockdown measures hit int'l trade hard in march with evidence emerging of a sharp deterioration in april as demand stalled & continued to be disrupted n services in particular collapsed via
3940,anger,we deserve the coronavirus
3617,anger,'corporate socialists' denounced as trump considers fracking industry bailout amid coronavirus outbreak via
1065,sad,silent spreaders corona asymptomatic coronavirus cases no symptoms in 80% of covid cases raise concerns the economic times
4329,fear,idk what is scarier coronavirus itself or people who clearly have 0 understanding of how dangerous it can be if we handle this the wrong way
4458,fear,one of the biggest issues we face is the mental health response to covid 19 take precautions and be aware the energy of fear weakens your immune system see the self advocacy skills taught to reduce coronavirus fear in the video todddenymsw
2992,joy,best video yet _lives_matter …
4504,fear,coronavirus crisis means we have no choice but to fight back sign up and get involved
2656,joy,attn pp read the following tweet& cooperate with govt to defeat covid 19 together may allaha creat harmony of thought in all provinces …
4182,fear,man this whole corona virus thing is just doing wonders for my anxiety haha anyway day 2 has started production and seriously these 2 again what could be happening this time pic twitter com/oxskslefe2
4391,fear,"a chinese doctor tried to warn people about coronavirus but the government tried to silence him by having him investigated by the police who told him ""we hope you can calm down and reflect on your behavior”"
471,joy,( ) enjoying the swimming pool during the lockdown ー19 _19india
2045,joy,we proudly activated from home from mid march and managed all operation smoothly we even had more time to development team focus and online productive meetings will not stop us …
2621,joy,throwback to last year vacation on this day hey corona please go away~ _places … …
690,sad,i am missing having butter chicken with my chilled beer beer_mug wht i am doing in lockdown having lays with feni zany_face
236,joy,yes during lockdown its worth to watch acting of all characters are awesome and story is also good direction is also nice and casting is to good smiling_face_with_heart-eyes
1926,joy,breaking in unesco declares indian lockdown as the best lockdown in the world tabligi jamaat nominated for the prestigious nobel peace prize for their nizamuddin chapter proud to be an indian
4152,fear,the gop are the gop sen ron johnson (wis ) and other conservatives are concerned that if the government provides too much coronavirus relief it will make people lazy via
747,joy,ー19 can not stop who are physically strong with good immune and strong will power like indian jawan
4412,fear,does corona virus kill your wife and blame it on an illegal alien worker asking for a friend
1312,joy,number of coronavirus cases in maharashtra rises to 335 increase of 33 since monday night health officials
4637,fear,i really hope this tweet ages well but it is kind of fun to see the hyped up panic of the coronavirus play out in real time if in fact it is as bad as predicted i feel like the hysteria of climate change still allows people to take cover because doomsday is so far away
4293,fear,i was thinking about something after reading all these articles about the coronavirus i believe i might of had it back in november i was absolutely sick for 2 straight months i went to the doctor and got tested for everything under the sun but came negative for everything pt1
907,joy,hope our quarantine centre of covid 19 in jhelum is functional well and not as near the expo centre in lahore near johar town ● good u hv 3 m followers but yet we got to do more ●best of luck
3063,joy,sano paila is playing an important role by responding in a multi pronged manner to best serve the needs of the most vulnerable during the coronavirus pandemic we are pleased to share with you the major highlights of our response so far pic twitter com/9x5xfonm6m
1074,anger,wher are the idiots amid lockdown 'mafia' clears trees builds hutments at aarey colony news …
2215,sad,lockdown 5 is like that part of a video game where you know you are losing it so you continue anyway
4546,fear,key takeaway here is coronavirus spreading in the prison system
3437,anger,which one called the coronavirus a hoax
1801,sad,i understand if pkp extended after 14th april but still kind of sad i did not get to celebrate ramadan with my family well as long as covid19 situation gets better then i'll have to abide
2828,sad,lockdown achievement pic twitter com/p4qqav879c
321,sad,heavy_minus_sign heavy_minus_sign play_button ︎ follow ( ) play_button ︎ follow ( ) heavy_minus_sign heavy_minus_sign …
2456,sad,yup but they are using it as an excuse to not lockdown mine is short term pain long term gain
1006,joy,without test but clapping beating thaali lighting candles will chase corona winking_face_with_tongue face_with_tears_of_joy
799,joy,_19 coffee hot_beverage
3922,anger,coronavirus bout to ruin the playoffs can that shit wait till like hockey season dont nobody care about that shit
982,joy,challenge has been accepted thanks for the 1 day 1 voice over challenge studio_microphone smiling_face_with_smiling_eyes
1564,joy,we need this kind of youth 15 year old asks pm modi to order all religious trusts to donate 80% of 'god's wealth' to fight covid 19 … via
3301,sad,india registers biggest single day spike of 8 392 cases total tally rises to 1 90 535 death toll climbs to 5 394 /d1rz3fl6cc
2616,joy,my new drawing _mepic twitter com/vjbtccnhfo
3425,anger,anybody else feel like lied about being negative for coronavirus
667,anger,please close my account am not home and you still charging me all this ridiculous amount the last time i was at your branch u promised to sort this please close my account
1532,sad,when entire nation is fighting corona our govt is still busy stripping us …
3085,fear,bravery is not the absence of fear but action in the face of fear we salute the heroes who are keeping our communities safe & pray that they keep themselves safe installed corona shield at hussainialam ps designed by & gifted by rbjaju family /guv8ka6siv – at hussaini alam
56,sad,supply chain distortion of farm produce owing to the lockdown over covid 19 has hurt both farmers and consumers in despair farmers destroying their own crop courtesy the hindu
4628,fear,coronavirus and the dangers of denial via
188,joy,set a time to spend with your child so that both of you can look forward to this have fun by exploring new activities
2724,sad,over & above a death committee has been constituted by to manipulate the number of death from corona by attributing the cause to previous ailments of the patients #वाह_रे_केजरीवाल_कोरोंना_हो_रहा_हे_बेलगाम …
4560,fear,i know the corona virus is real but the panic that is causing is crazy
3203,joy,great to see the special towing services by to in the event of covid 19 pic twitter com/pj2ysgr8hj
4270,fear,but they will never give him credit and i have a sad feeling that once dems stop being afraid of the corona virus they will quickly forget and return to their previous delusions
3099,sad,rest in peace celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from sirpic twitter com/r7g5gpx8r7
1239,joy,i called them they said they will help us thank you so much sir
4141,fear,rapid shutdowns in cities and states to stem the coronavirus have thrown restaurants across the country into sudden and complete disarray revenue dried up abruptly workers faced mass layoffs and restaurant executives tried to manage the resulting chaos
1339,anger,you know what i hate more than covid 19 carole baskin
2031,joy,i am now an ambassador i am responsible to protect myself and my community from 19 i challenge (tag 3 friends/family) to take the course pic twitter com/rnlujm7pla
2512,joy,interesting to see folks in have secure jobs there are other set of privileged set of people with great salaries healthcare benefits and entitlements engaged in amazing priorities wonder impacts them
4052,fear,since the coronavirus is not as bad as swine flu let us watch the scumbags stall it and reveal who they really are
3831,anger,so the dine in part in restaurants and bars here have been closed until further notice because of the coronavirus
3222,sad,karyakartas of abvp have been working round the clock to help students stuck during the lockdown so far thousands of northeast students have been helped by abvp this is what hon'ble chief minister of manipur shri ji has to say about abvp's work
3658,anger,exactly do not be patient
316,joy,dr tauseef the doctor who got infected with covid 19 in kgmu gave his plasma for to help in the treatment of corona pts proud of you doctor
1656,joy,… our new lockdown special corona song is going viral here's the link to the video …
3920,anger,i really hope i get corona virus lol deadass
3758,anger,that is it coronavirus has got to go
290,sad,bangkok post headlines on wednesday diamond_suit govt talks up b1 9tn aid diamond_suit virus cases fall for 2nd day running diamond_suit loss of taste smell 'early symptom of infection' #โควิด19
4422,fear,this is worse than coronavirus hiv and cancer combined
13,fear,watching my child put on a mask before stepping into school this morning was the first time i felt the icy fingers of fear grip my heart home based learning starts on wednesday in
3740,anger,okay let us say they both misspoke however biden sounding like he is endorsing trump is nowhere near as irresponsible as the president sounding like he is saying coronavirus is a hoax a lot of his supporters are in the target age range where the virus can be deadly
3292,fear,is god fearing gentleman but to crush in maharashtra we need a rough and tough knight like who visits hotspots of day and night …
2716,sad,sindh govt is fighting with corona for safety of people and federal govt is fighting with sindh govt for face saving
280,sad,staying sane after this continuous lckdwn 1 2&3 i thnk i may nt b abl to stay sane and nrml till corona dies for forever it may b dat home stay & socially distancing urslf can keep u safe of a most hated virus but not refreshing ur head with outdoor activity will obvsly kill u weary_face
2475,sad,pic 1 when a covid warriors family asks for help a day later they realise kejriwal will not help them pic 2 when a so called journalist asks for haircut kejriwal tweets for her seperately priorities of the 'aam aadmi' cm /ogoqqsazwg – at karawal nagar chowk
3909,anger,it is ridiculous everyone in america cannot easily get testing out healthcare system is trash
4405,fear,could coronavirus end china's grip on global manufacturing
4534,fear,the coronavirus is just the flu with some bop in it
1109,joy,after the corona helmet & horse now its corona painting time …
4582,fear,cleveland apl is reducing adoption fees to clear out shelters in midst of coronavirus threat
3357,anger,all 50 states have coronavirus this is an insane tweet completely racist out of touch and serves no purpose twitter com/mq0whpgqve
2535,joy,brighten the world with lively smile #แจกความสดใส wonderland …
3873,anger,trump is lying show us the test results and we will see if trump has tampered with the coronavirus test results i sure he has something
3705,anger,my mom just told me someone straight up stole her grocery cart at bj's after she paid for it this is what the is doing to people
4693,fear,we compiled a list of south orange county events disrupted by concerns this page will be updated as we learn of changes
3541,anger,excellent example of local small business in restaurant bingo order for take out and support local family businesses during shut down twitter com/c2mr65ky8f
3755,anger,damn i wish people cared about the opioid crisis as much as they do they corona virus
239,joy,faridabad
1095,joy,‍ 18 nations including usa and uk wants narender modi as leader for task force for corona what a proud moment for india believe in him and india will win please support
466,joy,perspective through this lockdown
2927,joy,business insight how technology is changing the world during covid 19 thanking
4277,fear,it upsets me that he has coronavirus because i often imagine him spitting in my mouth
4595,fear,orange lab coats ward off coronavirus do not they
487,joy,officially ipoh kinta lockdown
4039,fear,coronavirus block their ear ni bunch of immature pple
3672,anger,i'm just counting down till some of these cities go full martial law or issue a stay at home order because at this point it is not a matter of if but when
3434,anger,cuz they fucking foolish lmfaooo corona virus dont give you the runs bro pic twitter com/hzfr7drumc
774,sad,me and the squad running to the barbershop after the lockdown
4029,fear,how to beat the corona virus stay at home and chill
4505,fear,coronavirus prophecies of plagues and pestilence are we living in the end times
864,joy,our life before covid we will get through this folded_hands_light_skin_tone red_heart united arab emirates
3974,anger,trump's dangerously effective coronavirus propaganda
1526,anger,unfortunately covid19 has given rise to another pandemic infodemic god save us from these irresponsible twitterati
3673,anger,liars trump the chief liar among them google is not building a website to direct people where to go to be tested for coronavirus just tell us the truth
3107,sad,his death was not b'coz of corona bro it was kidney failure …
4388,fear,"just watched ""rosie"" on written by roddy doyle it makes for such sad and so awful to think realistic viewing the fears we all have around the must be so much worse when you do not have a roof over your head"
1381,sad,the greatness of indian & is even supporters are not seen supporting fr last some days after kejriwal did a biggest mistakes in the testing times of the country of nation is above the politics for all of us …
3113,fear,govt moving quickly on attracting foreign investment in manufacturing should help drive mfg in india and provide much needed jobs to economy as we enter the post covid world …
2070,sad,several eminent personalities have come up to extend financial aid to the government by contributing to pm cares fund on pm modi's appeal to battle covid 19 via namo app
4231,fear,are you kidding me can we not have a normal direct already this wait is worse than the coronavirus
3660,anger,back in my day there used to be so much toilet paper that people used to string it up in the trees of their enemies
582,joy,cherry blossom winking_face
4342,fear,first that he will not get tested even though he was exposed to the corona virus then by the end he will be getting tested and also something about a national emergency
2227,joy,one thing covid 19 has made me realise the value of family life is so much more than the 9 5 you do everyday sure money is great a loving caring and supportive family priceless we have pretty much done… …
3469,anger,overly hyped mass hysteria like this is the reason they never let us see the aliens
4212,fear,starting tuesday will be closed through april 27 due to coronavirus concerns boston mayor announced at a press conference friday night
2415,sad,sir seriously this govt is giving false data on covid 19 many news are across india that bjp govt hides the original data
545,joy,together we can help stop the spread of coronavirus learn ways to protect yourself and others at _distancing
1311,sad,old days will not return it is corona time
404,fear,"""ignorance"" is a sign of calamities yet to come the looming threat of ""modi madness"" would push india into a great disaster"
3429,anger,wrong it is a conglomeration of uncertainty of the coronavirus gdp growth global growth and your gross incompetence to rationally grasp reality fake news is when you called the coronavirus a hoax
1441,sad,hon'minister as you would know many businesses that are sme's & professionals can only go by for 15 days with their savings extension of hard lockdown keeps people 4m earning cannot donate cannot help pay bills/debts staff hired hurts the most go for soft lockdown plz
2930,sad,new coronavirus losing potency top italian doctor says …
1158,joy,no excuses please of my lockdown countdown … …
4204,fear,fact is the is worse in some parts of the world than others not all panic sell $btc as we face a likely global recession the longer this pause goes and the halving 55 days away folks in this space from og's to newbs are about to learn a lot about $btc we all are
294,sad,good job sir but what about those people who stuck in goa by lockdown will your govt planning about to send them back their home
442,anger,lockdown 2 0 indo uk exchange citizens responsibility duty and scientific temper is of paramount importance
339,sad,yahan hindu muslim chal raha hai aur wahan blacks & whites no wonder corona won the war because we all are a bunch of losers who could not find peace amongst ourselves
3036,joy,thanks to sahara foundation to certified me as a corona warriors /8nawhgshev
2174,sad,domicile order an ‘ill timed causal attempt' by goi ‘demands order be put in abeyance till covid pandemic is over' …
3989,anger,the coronavirus mass hysteria makes me giggle and that is on being a desensitized generation
75,joy,*special offer* hurry up online booking open for models to get the best offer book before ends and get the amazing * wrist watch *exchange scheme *benefits upto 8500/ on paytm *govt…
2918,sad,lahore coronavirus situation from bad to worse twitter com/cjmvzuynma
937,joy,coronavirus oi social distancing oi why still hug hug hah jk
676,sad,911 corona w9lt'hum le 2018 wayy bmouut loudly_crying_face loudly_crying_face face_with_tears_of_joy woman_facepalming_light_skin_tone
3367,anger,corona virus was not around until they locked up melly btw jus sayin
464,joy,good tk u let us win the war against corona
1322,joy,chocolate chip cookie cake recipe now in my highlights takes about 1 1 5 hours for this beautiful piece to be ready what have you been doing to keep yourself busy in the period … …
2393,sad,ji i live in c4c block we have found 2 corona positive case since yesterday heard people talking about no beds and faced challenges for testing would request you to meet or call the family so that these rumours go away
1102,joy,excellent and thankyou to chinese government for great help to russia to fight covid 19 together
2923,joy,congratulations to and on getting married during lockdown and announcing their pregnancy __bollybuzz pic twitter com/o4mast9yci
62,sad,a salary delayed is a salary denied pay your dues Bahrain dread it run from it destiny still arrives nothing is good born from lies & greatness is not what you think
4709,fear,"that is it since folks are mad about it being called ""the chinese virus"" the coronavirus will now henceforth be known as the beijing boogaloo"
4719,fear,omg i just watched contagion that is some scary shit it is all about coronavirus basically they just is not have a name for it
2887,sad,student organization spade condoles the death of great music composer director singer and a great personality wajid khan of the sajid wajid duo breathed his last during the wee hours on june 1 he lost his life fighting novel coronavirus at the age of 42 in mumbai twitter com/hsmlwhhy8t
4256,fear,trump blocked aggressive coronavirus testing because he worried it would hurt his reelection
1015,sad,pic credit poetry topic sharif
4136,fear,coronavirus was killing people before impeachment *began* but yes it is all about the narcissist in the wh
629,joy,your scientists and researchers deserve more than your players
3779,anger,may as well give him coronavirus throw him into a suitcase and leave him in the woods while you are at it get real bro
3903,anger,coronavirus will not stop illinois primary as gov pritzker bans groups of 50 or more
4611,fear,a part of me is worried about the corona virus but the other part is like “this is not shit ”
121,sad,isay b corona patient samjh k dafan kia gya tha 2 dib bad reports ai and she was suffering from cancer
3551,anger,times square in the time of coronavirus so f*ckin surreal 19
2959,sad,today coronavirus cases in bangladesh 2300/dead 22 day by day increasing
2664,joy,india awakening from 2months lockdown slumber feeling happy …
1184,joy,can some pharmacist teach his wife how to make medicine so that within few days she can make us medicine for covid19 …
849,sad,chief minister naveen pattnaik appealed all odisha people to sing *vandeutkaljanani* at *5 30pm on may 30* to encourage covid warriors and show respect to their sacrifice
3848,anger,have not got a hug in a while ( listen here u lil shit
2129,sad,requesting madam/sir of they will go to jharkhand it is our week point that is unable to provide food to the shelter & is a violation of hmo order of 28 03 2020 so stop them & provide food & them at bhubaneswar itself to stop pic twitter com/vke8ymq618
3823,anger,trump on coronavirus fatality rate we are substantialy under 1% this is false you cannot just divide deaths by total cases this is going to end so badly
3572,anger,my allergies are fucking me up so bad right now and marquis is the asking around yelling i have the coronavirus somebody come get they mans please
2526,sad,i lost my job due covid 19 crisis and million others
4631,fear,let not your hearts be troubled
3364,anger,things are turbulent in the situation in and the valley cancels may graduation declares emergency orders bars/nightclubs closes no paywall for 's coverage
537,sad,there are many areas where money is available only by doing daily work but due to lockdown and covid19 everything is destroyed now people have no money and they do not have work so that they can survive
8,anger,₹300 crores for statue and ₹120 crores for donald trump visit and now they are asking pm funds from general public for corona _shutup _ने_निकाला_जनता_का_तेल
1036,joy,webinar on int'l earth day via zoom on april 22 for joining pl note meeting code looking forward participation ー19
2744,sad,as we all know that m p government recently said that there will be no general promotion to the college students we want justice _spreading_corona_virus
1369,sad,suggests can use to protect themselves from as facing shortage of you should have used the money on which have been spent on & endless twitter com/ywgmze4sfd
1553,sad,despite not a bad gst collection by govt …
2317,joy,my habits are really change during this covid pandemic
4403,fear,coronavirus has been around too but not this particular strain similar thing happens with flu too (e g the buzz for swine flu) they evolve the flu vaccine is different every year to combat the different iterations and likely strains that are dangerous any given year
3177,joy,lockdown 5 0 homemade chicken chaap another day at home saving myself from corona and eating the delicious homemade stuff in these days i knew eating only hom made keeps u healthy and its good for your stomach as… …
3558,anger,how they are dealing with in a public facility in portsmouth uk yes that is a coronavirus warning sign torn down and covered in used tissues pic twitter com/df8pwdlk17
743,joy,a very good article from the greater good about the potential ongoing impact covid 19 could have on kids and how adults can help
2485,joy,well i can tell to you with all fact and figures best treatment for corona even since last one month trying to analyse where its kind of funny but it have worth to think about it
3452,anger,house voted 363 40 on coronavirus relief package free testing for those who lack ins enhanced unemployment benefits additional food aid federal funds for medicaid 14 days paid sick leave 3 months paid family leave 40 republicans voted no someone needs to explain
593,fear,kenya activists fear spike in violence against women during coronavirus
1298,sad,pl do not send ur rajdeep sardesai in india today tv live update instead of talking about seriousness of covid 19 he is after finding loopholes of the government this act is diminishing ur goodwill tremandously
675,joy,good morning take a deep breath and everything will be ok in the end and if its not ok and it is not the end ー19 #जयश्रीराम
10,sad,i want tell u i m international medical graduate doctor & have more 400 drs male and female wants to participate in crisis of corona but government does not knows about us the list i created of all these doctors from all over the pak just we want allow the help of our country
4548,fear,this is the perfect time to travel to places that is not really stressing the corona fake ass virus lmao before they force everybody to be sheep who wants to take a trip
2877,sad,immediately announce a financial relief package including tax cuts and subsidies for the salaried middle class to end our struggles caused by the covid 19 crisis sign the petition via
3846,anger,things that do not prevent bottled water milk bread sex cocaine
